Name,Website,Aliases,Description,Related Disease 1,Related Disease 2,Related Disease 3,Related Disease 4,Related Disease 5
红细胞分布宽度偏...,https://jbk.39.net/zhengzhuang/hxbfbkdpd/,,"红细胞分布宽度偏低，属于红细胞系统的一个辅助指标。红细胞分布宽度RDW是反应红细胞体积变异性的参数,是通过血细胞分析仪测量获得,多数食品用所测红细胞体积大小的变异系数(RDW-CV)来表示,其参考值为11.5%-14.5%.高于正...",地中海贫血,缺铁性贫血,妊娠合并缺铁性贫血,,
口干,https://jbk.39.net/zhengzhuang/kg/,,口干是一种主观的感觉，主观的口干又大都伴有客观的口腔干燥，有些人把咽干、唇干等误认为口干，也有的人所说的口干并不是全都伴有口腔干燥的客观表现。所以，口干也可能是病人的口干感觉，也可能是口腔干燥。　...,急性黄疸型肝炎,热感冒,交感神经型颈椎病,痰热咳嗽,胎热
疲劳,https://jbk.39.net/zhengzhuang/pl/,(疲乏),疲劳又称疲乏，是主观上一种疲乏无力的不适感觉。疲劳不是特异症状，很多疾病都可引起疲劳，很少有患病后更觉浑身是劲的情况，不同疾病引起不同程度的疲劳，有些疾病表现更明显，有时可作为就诊的首发症状。,慢性疲劳综合症,妊娠,多发性硬化伴发的葡萄膜炎,四肢淋巴水肿,赖特综合征性巩膜炎
流鼻血,https://jbk.39.net/zhengzhuang/lbx/,(鼻衄),为鼻出血，多由于“肺燥血热&rdquo;，引起鼻腔干燥，毛细血管韧度不够，破裂所致。,获得性维生素K依赖性凝血因子异常,遗传性抗凝血酶Ⅲ缺乏症,遗传性凝血酶原缺乏,横纹肌肉瘤,血小板减少性紫癜
外阴烧灼刺激感,https://jbk.39.net/zhengzhuang/wyszcjg/,,因为外阴阴道炎症等原因引起的外阴局部有烧灼感及瘙痒等症状。,唇疱疹,外阴汗管瘤,产褥感染,复发性外阴阴道念珠菌病,单纯性外阴阴道念珠菌病
后脑勺疼,https://jbk.39.net/zhengzhuang/hnst/,,后脑勺痛，一般为颈椎病，还要注意除外颈椎病的可能，有颈椎骨质增生者，由于增殖性颈椎炎或骨刺压迫、刺激颈神经根引起后脑与颈部疼痛。,头痛,,,,
头皮屑多,https://jbk.39.net/zhengzhuang/tpxd/,,简介：头皮屑的产生是一般的皮肤污垢，也就是表皮的角质层不断的剥落面产生的，也是新陈代谢的结果。头皮屑过多，毛孔被堵塞，就造成毛发衰弱状态，容易细菌增殖，而刺激皮肤产生头痒问题。,头癣,头皮屑,石棉状糠疹,,
第1跖趾关节疼痛...,https://jbk.39.net/zhengzhuang/d1zzgjtthzd/,,"第1跖趾关节疼痛和肿大是僵鉧的临床诊断之一。僵鉧极为常见,常由于第1跖骨位置变异引起,由于踝过度内转(旋前),趾向外偏(鉧外翻),第一跖骨背屈(高位跖骨),或第一跖骨长度增加或向内偏所致,偶尔外伤也是一个原因。",僵鉧,跖趾关节痛,痛风,,
喉咙痛,https://jbk.39.net/zhengzhuang/hlt/,,喉咙痛可表现在喉咙(咽喉部)疼痛、粗糙和刺痛，这往往是由轻度感染或局部刺激引起的。喉咙痛是一种轻度的病症，不加以治疗，症状也大多会在一两天内消失。,病毒性喉炎,锁喉痈,锁喉毒,喉喑,喉炎
血管硬化,https://jbk.39.net/zhengzhuang/xgyh/,,许多老年人都有不同程度的血管硬化现象，血管是非常富有弹性的，为了使血液流动顺畅，所以内壁很柔软。但是形成动脉硬化的血管，则会增厚与变硬，内壁出现粉瘤(粥状硬化巢)，这是因胆因醇、血小板附着所造成的隆...,血厥,冠状动脉粥样硬化性心脏病,动脉硬化,,
睾丸胀痛,https://jbk.39.net/zhengzhuang/gwzt/,,睾丸胀痛可大体上分为两种情况，急性的持续疼痛和慢性的经常性疼痛，多由于睾丸炎和损伤引起，睾丸损伤有明确的外伤史。,睾丸癌,肝胆湿热,睾丸炎,睾丸淋巴瘤,睾丸肿瘤
脾肾阳虚,https://jbk.39.net/zhengzhuang/psyx/,,脾肾阳虚，病证名。由多由感受寒邪较重，或久病耗气损伤脾肾之阳气，或久泻不止，损伤脾肾之阳，或其他脏腑的亏虚，累及脾肾两脏等引起。脾虚阳气不足，多引起大肠功能失调，表现为或腹泻，或便秘。吸收不良综合...,心脾两虚,肾虚,肾虚腰痛,肾虚耳鸣,脾虚泄泻
胸闷憋气,https://jbk.39.net/zhengzhuang/xmbq/,,胸闷憋气是一种主观感觉，即呼吸费力或气不够用。轻者若无其事，重者则觉得难受，似乎被石头压住胸膛，甚至发生呼吸困难。它可能是身体器官的功 能性表现，也可能是人体发生疾病的最早症状之一。不同年龄的人胸...,痰饮,心力衰竭,心瘅,脓胸,肋软骨炎
多梦,https://jbk.39.net/zhengzhuang/dm/,,每个人都做梦。但大多数人醒来后不久就忘记梦了，最多只留下某些感觉。那些醒后还清晰记得梦的内容的，只能是睡眠质量不高，或者是多梦。,睡眠障碍,缺血缺氧性脑病,脑外伤伴发的精神障碍,癔症,慢性乙肝
血管痣,https://jbk.39.net/zhengzhuang/xgz/,,血管痣是婴儿最常见的良性肿瘤，是由胚胎期血管网增生所形成。血管痣分两种，血管瘤和血管畸形。,头-面血管瘤综合征,出血性疾病,外阴血管瘤,血管瘤,色素痣
腰骶疼痛,https://jbk.39.net/zhengzhuang/ydtt/,,腰骶部是躯干中上身与下身(包括骨盆和下肢)相互连接的枢纽。结构较为复杂。有五分之四的成人在一身中有过明显的腰骶疼痛的经历。通常在受寒冷后出现，在45岁以下的人群里，是因为腰疼痛而丧失全天的工作能力是最...,重度宫颈糜烂,宫颈炎,强直性脊柱炎及其伴发的葡萄膜炎,单纯性脊柱结核,髂骨致密性骨炎
胃部隐痛,https://jbk.39.net/zhengzhuang/wbyt/,,胃部隐痛是胃痛的一种。胃疼是一种非特异性症状，常出现在胃炎，胃溃疡，十二指肠溃疡，还有上腹疼不一定是胃，也有可能是肝，膈等。,消化系统溃疡病,积滞,慢性胃炎,胃病,胃溃疡
精液少,https://jbk.39.net/zhengzhuang/jys/,,正常男性每次射精排出的精液为2～6毫升，当精液量少于2毫升时就可确认为精液过少，但应注意精液少并不意味精子少。,男性更年期综合症,类固醇5α-还原酶2缺乏综合征,男性生殖系结核,,
婴儿睡觉不踏实,https://jbk.39.net/zhengzhuang/yesjbts/,,婴儿睡觉不是很踏实是指总是爱哼哼唧唧的使劲，同时皱着眉头面部表情很难受，身子也在扭动使劲，哭闹等不想睡觉或者睡觉容易醒等临床症状。,小儿阻塞性睡眠呼吸暂停,尿布疹,儿童睡眠障碍,,
手脚冰凉,https://jbk.39.net/zhengzhuang/sjbl/,,寒冷会使人的全身或者局部血液循环不良，或者肢体末梢儿血液循环障碍，这会导致手脚冰凉。经常长期的手脚冰凉，可以称为“冷寒症&rdquo;。中医理论认为这是气虚、气滞、阳气不足的反应。女性在经期、孕期和产期等特殊...,自发性气胸,吞气症,白痢,卵巢功能异常综合征,细菌性痢疾
肠痉挛,https://jbk.39.net/zhengzhuang/cjl/,,肠痉挛是由于肠壁平滑肌阵阵强烈收缩而引起的阵发性腹痛，是小儿急性腹痛中最常见的情况。在小婴儿，可从哭吵的程度和强度来了解是否存在肠痉挛。,胃肠神经官能症,十二指肠平滑肌肉瘤,婴儿肠痉挛,结肠过敏症,小肠平滑肌肉瘤
手脱皮,https://jbk.39.net/zhengzhuang/stp/,,掌脱皮症又叫“剥脱性角质松懈症”、“板状汗出不良”( dyshidrosis)、汗疱(疹)症(pompholyx)。发于手掌、手指的掌面及足底。手脚掌表皮少了表皮的角质层天然屏障，常给人们带来一些不良影响。,剥脱性角质松解症,手湿疹,小儿血管角质瘤综合征,,
月经推迟,https://jbk.39.net/zhengzhuang/jqtc/,(经期推迟),经期推迟即月经推迟，女性月经周期一般为28～30天。提前或延后7天左右仍属正常范围，周期长短因人而异。但是如果超出7天后还没有来月经，即为月经推迟。,子宫内膜癌,月经不调,,,
龟头瘙痒,https://jbk.39.net/zhengzhuang/gtsy/,,龟头瘙痒主要考虑的是包皮龟头炎所致，一般龟头瘙痒的患者都是由于细菌感染，气候潮湿，平时没注意好自己的个人卫生。造成感染导致包皮龟头炎，从而产生龟头瘙痒。,念珠菌性龟头炎,环状糜烂性龟头炎,急性浅表性包皮龟头炎,包皮过长,包皮龟头炎
嗳气,https://jbk.39.net/zhengzhuang/aq/,"(打饱嗝,饱嗝，噫)",噫气俗称“打饱嗝”、“饱嗝”，是各种消化道疾病常见的症状之一。尤其是反流性食管炎、慢性胃炎、消化性溃疡和功能性消化不良，多伴有噫气症状。嗳气，在中医讲，属于“气机上逆”。噫气是胃中气体上出咽喉所发...,胃癌,幽门螺杆菌感染,食道癌,血管瘤,胆囊炎
容易上火,https://jbk.39.net/zhengzhuang/rysh/,,上火，是中医术语，意为人体阴阳失衡，内火旺盛。所谓的“火”是形容身体内某些热性的症状。而上火也就是人体阴阳失衡后出现的内热症。症状包括眼睛红肿、口角糜烂、尿黄和牙齿痛等。一般认为“火”可以分为“实...,阴虚火旺,口腔溃疡,,,
痰中带血丝,https://jbk.39.net/zhengzhuang/tzdxs/,,痰中带血对于青年人来说，可能是由于支气管炎、肺炎、支气管扩张、肺结核等肺部疾患引起。但如果一个40岁以上的人出现痰中带血，则要警惕肺癌的发生。应及时到医院做x线胸部检查和痰液脱落细胞学检查，这两种方法...,肥厚性咽炎,放线菌病,葡萄胎,Kartagener综合征,肺地丝菌病
左上腹痛,https://jbk.39.net/zhengzhuang/zsft/,,在大多数的情况下，腹部的病变与腹痛部位存在着对应关系。一般按腹部器官所在，腹部可以肚脐为中心，画分为右上、右下、左上、左下等四个区域，而依腹痛发生部位来看，可分为左上腹痛、右上腹痛、左下腹痛、右下...,慢性浅表性胃炎,胰腺炎,胰痈,脾脓肿,急性胆源性胰腺炎
包皮粘连,https://jbk.39.net/zhengzhuang/bpzl/,,"包皮粘连指包皮过长或包皮较紧时,强行上翻后未能及时复位,过紧的包皮口就像狭窄的环紧紧勒在龟头后冠状沟处.在嵌顿以下部位,血液循环和淋巴回流明显受阻,造成局部水肿,更难以复位.如果长期嵌顿,阴茎头会因缺血而青...",包茎,包皮过长,包皮阴茎头炎,包皮龟头炎,
产后肥胖,https://jbk.39.net/zhengzhuang/chfp/,,我国传统特别重视“坐月子”，认为妇女在产前和产后该吃大量补品，致使过多摄入热量。加之产后不加强运动，腹部肌肉会松弛，使脂肪过多地沉积在腹部，影响形体美。,肥胖症,,,,
心动过速,https://jbk.39.net/zhengzhuang/xdgs/,,成人每分钟心率超过100次称心动过速。心动过速分生理性病理性两种。跑步、饮酒、重体力劳动及情绪激动时心律加快为生理性心动过速;若高热、贫血、甲亢、出血、疼痛、缺氧、心衰和心肌病等疾病引起心动过速，称病...,小儿病毒性心肌炎,小儿心力衰竭,心衰,心脏病,房性心动过速
一咳嗽胸口就疼,https://jbk.39.net/zhengzhuang/yksxkjt/,,一咳嗽胸口就疼是感冒引起的胸膜炎临床症状. 胸膜炎又称“肋膜炎”，是胸膜的炎症。 胸膜炎是致病因素(通常为病毒或细菌)刺激胸膜所致的胸膜炎症。胸腔内可有液体积聚(渗出性胸膜炎)或无液体积聚(干性胸膜炎)。炎症...,心咳,慢性化脓性胸膜炎,,,
口腔念珠菌感染,https://jbk.39.net/zhengzhuang/kqnzjgr/,,口腔念珠菌病(oral candidiasis)是真菌——念珠菌属感染所引起的口腔粘膜疾病。近年来，由于抗生素和免疫抑制剂在临床上的广泛应用，发生菌群失调或免疫力降低，而使内脏、皮肤、粘膜被真菌感染者日益增多，口腔粘膜念...,念珠菌病,雪口病,鹅口疮,小儿鹅口疮,小儿X-连锁严重联合免疫缺陷病
尿隐血,https://jbk.39.net/zhengzhuang/nyx/,(尿潜血),"尿隐血又名“潜血&rdquo;,由于身体内某部分出血而在粪便尿液或脑脊液中出现血液,须用化学试剂或试纸方可测出,用眼或显微镜均不能查出。也叫潜血。正常情况尿潜血试验阴性。",肾结石,肾前性肾功能衰竭,输尿管结石,慢性膀胱炎,
怕冷,https://jbk.39.net/zhengzhuang/wh/,(畏寒),人见寒冷则感觉身体发凉，但多穿衣或在室内则不感觉冷，平素较正常人怕冷者即畏寒，是阳虚表现。,时行感冒,夏季感冒,阴冷,恶寒发热,不孕不育
脸色发黑,https://jbk.39.net/zhengzhuang/lsfh1/,,中医认为脸色发黑是肾亏损的表现，故常用补肾药物予以治疗。此外，肝硬变、肾上腺素功能减退症、慢性肾功能不全、慢性心肺功能不全、肝癌等患者，也会出现脸色变黑。至于因生理现象而形成脸色变黑、老年性色素斑...,肾虚腰痛,,,,
心慌气短,https://jbk.39.net/zhengzhuang/xhqd/,,心慌气短可能和心情、年龄有关，也可能是心脑疾病造成的。常见于窦性心动过速的伴发症状。,肝性胸腔积液,获得性免疫缺陷综合征的心血管损害,室性并行心律及室性并行心律性心动过速,肾上腺素能依赖性尖端扭转性室性心动过速,间歇依赖型尖端扭转型室性心动过速
颈动脉斑块,https://jbk.39.net/zhengzhuang/jdmbk/,,颈动脉斑块即属颈动脉粥样硬化，各心脏冠状动脉同属动脉粥样硬化高发部位。,中风,高血压,脑栓塞,昏迷,高血脂
腹部肿块,https://jbk.39.net/zhengzhuang/fbzk/,,腹部肿块是指在腹部检查时可触及到的异常包块。常见的原因有脏器肿大，空腔脏器膨胀，组织增生，炎症粘连及良恶性肿瘤等,痃癖,腹膜肿瘤,肠系膜动脉瘤,多房棘球蚴病,细粒棘球蚴病
眼睛痒,https://jbk.39.net/zhengzhuang/yjy/,,眼睛受刺激需要抓挠的一种感觉。,结膜炎,目劄病,春季结膜炎,慢性卡他性结膜炎,老花眼
体毛脱落,https://jbk.39.net/zhengzhuang/tmtl/,,概述:身体某个部位的毛发脱落。,血色病,医源性多毛症,拔毛狂,老年人甲状腺功能低下,
浅表淋巴结肿大,https://jbk.39.net/zhengzhuang/qblbjzd/,,淋巴结因内部细胞增生或肿瘤细胞浸润而体积增大的现象。临床常见的体征。可通过触摸颌下、颈部、锁骨上窝、腋窝和腹股沟等部位而发现，淋巴结肿大常见3种情况：①良性肿大。包括各种感染、结缔组织病和变态反应...,红皮病型牛皮癣,药物性皮炎,海绵状淋巴管瘤,原发性渗出性淋巴瘤,骨恶性淋巴瘤
射精疼,https://jbk.39.net/zhengzhuang/sjt1/,,射精疼痛，系指在射精时发生的、尿道、会阴或下腹的阵发疼痛。射精是性生活中男方的高潮阶段，其过程是由副性器官、会阴部肌群与阴茎体一起有节律地收缩而协同完成的。正常情况下，射精的动作伴有愉快的感觉，并...,前列腺痛,输精管堵塞,精囊结石,精囊囊肿,
背痛,https://jbk.39.net/zhengzhuang/bt/,(背疼，背部疼痛，),背部由于疾病、创伤等引起的难受的感觉。,老年人尿路感染,脊柱炎,偻附,肺宫崎肺吸虫症,胸椎间盘突出症
打喷嚏,https://jbk.39.net/zhengzhuang/dpt/,(打嚏喷),打喷嚏是肌体从鼻道排除刺激物或外来物的一种方式。人们有4种原因打喷嚏。当他们感冒时盯喷嚏，帮助清洁鼻部。在患有过敏性鼻炎或花粉症时也打喷嚏，从鼻道排出过敏物。患有血管收缩性鼻炎的人，流粘液鼻涕为典...,季节性过敏性鼻炎,鼻炎,伤风,禽流感,柯萨奇病毒和埃可病毒感染
持续低烧,https://jbk.39.net/zhengzhuang/cxds/,,低烧是指体温在37.3℃~38℃。长期低烧是指持续发烧两周以上，不包括间断发烧。,风轮湿热,阑尾炎,热毒冲心,经行发热,甲肝
胃火,https://jbk.39.net/zhengzhuang/wh1/,,中医学名词。指胃热炽盛化火的病变。胃火炽盛，可延足阳明胃经上炎，表现为牙龈肿痛、口臭、嘈杂易饥、便秘等。证名。胃火炽盛之证。证见烦热、口渴、牙疼、牙龈肿烂、牙宣出血、颐肿、面赤等。《校注医...,胃病,食积胃病,胃纳呆滞,食滞胃脘主证,
性欲减退,https://jbk.39.net/zhengzhuang/xyjt/,,"性欲减退(sexual hypoactivity)是以性生活接应能力和初始性行为水平皆降低为特征的种状态女性叙述性欲减退者比男性多见文献报道男性为16%～20%,女性为20%～37%.",淋病后综合征,男性急性淋病,阴冷,不孕不育,
肠子胀气,https://jbk.39.net/zhengzhuang/czq/,,胃肠气胀是由于多种原因引起的胃肠道不通畅或梗阻胃肠道的气体不能随胃肠蠕动排出体外面积聚于胃肠道内称胃肠气胀胃肠气胀可以是功能性的也可以是器质性的如肠道易激综合征糖尿病引起的胃轻瘫使胃肠道气胀为功能...,伪膜性肠炎,子宫收缩乏力,慢性胃炎,胃溃疡,复发性卵巢恶性肿瘤
乏力,https://jbk.39.net/zhengzhuang/fl/,,乏力的原因有很多. 体力劳动者饮食太淡易致疲劳，是因为盐中的钠能加强神经肌肉的兴奋性。 睡眠不足可使人感到乏力，但神经衰弱者如长期服用安眠药，也会感到软弱无力，引起疲乏的药物还有苯海拉明等抗组织胺药物...,春困,急性浅表性包皮龟头炎,肝炎后肝硬化,慢性乙肝,急性无黄疸型肝炎
牙龈肿胀,https://jbk.39.net/zhengzhuang/yyzz/,,     细菌是导致牙龈炎症，流血、肿痛、萎缩…的原因，实即牙齿根部痛，而且其周围齿肉肿胀。,牙痈,中间型链球菌感染,牙周病,药物性牙龈增生,急性颌骨骨髓炎
手足麻木,https://jbk.39.net/zhengzhuang/szmm/,,手足麻木，又称为四肢麻木。指手足感觉器官障碍，中医解释为：麻，肌肤蚁走感，或如触电感;木，皮肉不仁如木厚之感。由气血俱虚，经脉失于濡养，或气血凝滞，经络失畅，或寒湿痰瘀留阻脉络所致。《丹溪心法》卷...,肝风内动证,巨细胞动脉炎和风湿性多肌痛,放射性脊髓病,工业毒物中毒性周围神经病,高血压
视力障碍,https://jbk.39.net/zhengzhuang/slza/,,眼功能包括形觉、色觉和光觉。视力是比较精确地表示形觉的功能，可分为中心视力和周边视力。中心视力是通过黄斑中心获得的，周边视力指黄斑以外的视网膜功能。故视力是视功能的具体表现之一。视力发生障碍，虽然...,视瞻昏渺,水俣病,电视眼病,圆翳内障,眼眶肿瘤
甲状腺肿大,https://jbk.39.net/zhengzhuang/jzxzd/,(粗脖子),单纯性甲状腺肿俗称“粗脖子&rdquo;、“大脖子&rdquo;或“瘿脖子&rdquo;。是以缺碘为主的代偿性甲状腺肿大，青年女性多见，一般不伴有甲状腺功能异常，散发性甲状腺肿可有多种病因导致相似结果，即机体对甲状腺激素需求...,甲状腺肿,甲状腺相关眼病,甲状腺功能亢进性心肌病,多发性内分泌腺瘤Ⅱ型,急性甲状腺炎
皮下囊肿,https://jbk.39.net/zhengzhuang/pxnz/,,任何年龄均发生，以青年时期头面、臂、背部发病多见。为一柔软或多个柔软或坚实的球状物，直径在1～3cm不等。粉瘤埋藏于皮肤或皮下组织内，与皮肤粘连，基底可移动。皮表可见开口小孔，推动囊肿时，此处与皮肤粘...,皮样表皮样囊肿,皮脂腺囊肿,上皮样囊肿,皮样囊肿,肉瘿
神经性耳聋,https://jbk.39.net/zhengzhuang/sjxel/,,神经性耳聋是指内耳听觉神经、大脑的听觉中枢发生病变，而引起听力减退，甚至听力消失的一种病证，常常伴有耳呜。,耳膜穿孔,噪声病,耳聋,骨与关节梅毒,线粒体病
眼眶疼痛,https://jbk.39.net/zhengzhuang/yktt/,,由于机体组织受到各种损害刺激而产生的眼眶持续性或阵发性疼痛。,眼眶肿瘤,甲状腺功能亢进性心肌病,骨膜炎,恙虫病,钝挫伤
阴茎表浅性溃疡,https://jbk.39.net/zhengzhuang/yjbqxky/,,阴茎溃疡是阴茎皮肤表面组织的局限性缺损、溃烂，其表面常覆盖有脓液、坏死组织或痂皮。,尿道与阴茎结核,包皮龟头炎,白塞病,阴茎癌,软下疳
高眼压,https://jbk.39.net/zhengzhuang/gyy/,,高眼压是指反复多次测量眼压均超过正常范围，但经长期随访，不引起视乳头和视野的改变。,原发性青少年型青光眼,原发性婴幼儿型青光眼,穿透性角膜移植术所致青光眼,继发于无晶状体眼和人工晶状体眼的青光眼,上巩膜静脉压升高所致青光眼
阴囊上有白色小疙...,https://jbk.39.net/zhengzhuang/ynsybsxgd/,,阴囊上有白色小疙瘩可能是阴囊湿疹的重要症状，阴囊湿疹是湿疹中最常见的一种，局限于阴囊皮肤，有时延及肛门周围，少数可延至阴茎。此病瘙痒剧烈，皮疹呈多形性变，容易复发，可以治疗，要达到根治的目的需要个...,阴囊湿疹,,,,
肝气郁结,https://jbk.39.net/zhengzhuang/gqyj/,,肝气郁结 中医名词。肝有疏泄作用，喜舒畅而恶抑郁。如肝失疏泄或情绪抑郁不舒，均可引起肝气郁结。,阴吹,肝炎,肝厥,肝瘟,肝著
口舌生疮,https://jbk.39.net/zhengzhuang/kssc/,,口舌生疮 aphthous stomatitis口舌生疮或溃烂、出现局部疼痛的口腔病。部分患者常反复发作，甚至溃疡久不愈合。多由心脾积热，外感热邪，或脾胃湿热，阴虚阳亢所致。古代文献中，又称此病为口破、口疳、口疡，发生...,喉疮,小肠实热,婴幼儿舌下囊肿,婴幼儿舌下囊肿,赤脉传睛
流黄鼻涕,https://jbk.39.net/zhengzhuang/lhbt/,,当鼻内出现炎症时，鼻腔内可以分泌大量的鼻涕，并可以因感染而变成黄色，导致流黄鼻涕。流经咽喉时可以引起咳嗽，鼻涕量十分多时还可以经前鼻孔流出。,风热犯肺,热伤风,,,
肝功能异常,https://jbk.39.net/zhengzhuang/ggnyc/,,肝功能异常是当肝脏受到某些致病因素的损害，可以引起肝脏形态结构的破坏(变性、坏死、肝硬化)和肝功能的异常。轻度的损害，通过肝脏的代偿功能，一般不会发生明显的功能异常;如果损害比较严重而且广泛，引起明显...,肝炎,甲型病毒性肝炎,小儿肝母细胞瘤,朗格汉斯细胞组织细胞增生症,对乙酰氨基酚中毒
右上腹痛,https://jbk.39.net/zhengzhuang/ysft/,,右上腹痛一般是肝脏、胆囊、胆道、胰脏、十二指肠、右肾、大肠右段的疾病。,肝脏破裂,胰腺炎,胆囊炎,子痫,急性胆囊炎
老年人腿抽筋,https://jbk.39.net/zhengzhuang/lnrtcj/,,一些老年人在夜间睡眠中或白天休息时会发生腿抽筋。引起老年人腿抽筋的原因很多，通常人们总是把腿抽筋和缺钙联系在一起，因为缺钙确实会引起腿抽筋。但老年人腿抽筋并非都是缺钙引起，有相当一部分老年人发生腿...,,,,,
外阴呈幼稚型无阴...,https://jbk.39.net/zhengzhuang/wycyzxwym/,,外阴呈幼稚型无阴毛常见于Turner综合症患者，也称先天性卵巢发育不全综合征，这是唯一已知的性染色体单体病。,外阴阴道性不孕,常染色体隐性遗传性脑动脉病及动脉硬化伴皮质下梗死及白质脑病,小儿常染色体显性小脑性共济失调,小儿常染色体隐性小脑性共济失调,
失眠,https://jbk.39.net/zhengzhuang/sm/,(入睡和维持睡眠障...),通常指患者对睡眠时间或质量不满足并影响白天社会功能的一种主观体验。,经行失眠,致死性家族性失眠症,家庭主妇综征合征,空巢综合症,职业妇女病
气滞血瘀,https://jbk.39.net/zhengzhuang/qzxy/,,气滞血瘀，是指气滞和血瘀同时存在的病理状态。,虫臌,症瘕,急性淋巴细胞性白血病,,
肝肿大,https://jbk.39.net/zhengzhuang/gzd/,,　 肝肿大可由许多疾病引起，是临床上一个重要体征。正常肝脏大小为长径25 cm x上下径15 cm x前后径 16 cm。国人成年男性的肝平均重1342 g，女性1234 s，胎儿和新生儿的肝相对地较成人大，约占体重1/20。正常肝上界与隐穹窿一致...,淤胆型肝炎,肝炎,肝热病,肠癌,系统性红斑狼疮伴发的葡萄膜炎
老年人小腿浮肿,https://jbk.39.net/zhengzhuang/lnrxtfz/,,下肢浮肿是老年人比较常见的症状。这种浮肿的出现，往往提示已患有某种疾病，因此，应该及时去医院检查病因。医生检查一个人是否有下肢浮肿，一般是用手指按压被检查者小腿前内侧或内踝附近，如果此处按压后出现...,肝硬化,老年人原发性恶性高血压引起的恶性小动脉肾硬化,,,
眼花,https://jbk.39.net/zhengzhuang/yh/,,"看东西模糊不清,常见于低血糖、颈椎病、神经衰弱症、原发性直立性低血压等。",密码综合症,原发性高血压,Shy-Drager综合征,叶酸缺乏所致贫血,一氧化碳中毒
腰部钝痛,https://jbk.39.net/zhengzhuang/ybdt/,,腰或腰骶部疼痛，反复发作，疼痛可随气候变化或劳累程度而变化，时轻时重，缠绵不愈。疼痛的性质多为钝痛，可局限于一个部位，也可散布整个背部。,肾咳,腰椎退变性小关节损伤性关节炎,极外侧型腰椎间盘突出症,运动员胸背与腰背痛,肾结石
上腹不适,https://jbk.39.net/zhengzhuang/sfbs/,,由于饮食不节或者疾病等原因，造成上腹部不适感，如腹胀，腹痛等。,胃炎,无痛性心肌梗死,甲型病毒性肝炎,肝脏肿瘤,结核病
心理性性功能障碍,https://jbk.39.net/zhengzhuang/xlxxgnza/,(非器质性性功能障...),心理性性功能障碍指一组与心理社会因素密切相关的性功能障碍。常见为性欲减退、阳痿、早泄、性乐高潮缺乏、阴道痉挛、性交疼痛等。,继发性早泄,原发性早泄,早泄,阳痿,勃起功能障碍
颈椎间盘突出,https://jbk.39.net/zhengzhuang/jzjptc/,,颈椎间盘突出是临床上较为常见的脊柱疾病之一，发病仅次于腰椎间盘突出。主要是由于颈椎间盘髓核、纤维环、软骨板，尤其是髓核，发生不同程度的退行性病变后，在外界因素的作用下，导致椎间盘纤维环破裂，髓核组...,椎间盘突出症,颈型颈椎病,颈椎间盘突出症,颈椎病,
食欲不振,https://jbk.39.net/zhengzhuang/sybz/,,"食欲不振是指对食物缺乏需求的欲望。严重的食欲不振称为厌食。 食欲的中枢在下丘脑,其与大脑皮层有广泛的联系。在下丘脑有两个调节摄食的中枢,一个是饱足中枢,在腹内侧核,动物实验,破坏此中枢,出现食欲亢进,食量增...",肝炎后肝硬化,急性黄疸型肝炎,时行感冒,男性急性淋病,慢性浅表性胃炎
肾阴阳两虚,https://jbk.39.net/zhengzhuang/syylx/,,肾阴阳两虚：则有五心烦热、盗汗或自汗、四肢发凉、遗精失眠、多梦、舌红无苔、脉细数或舌淡苔白、脉沉迟。,不孕不育,肾病,肾虚,阴盛阳衰症,
呼吸异常,https://jbk.39.net/zhengzhuang/hxyc/,(异常呼吸),      人呼吸频率成人为16~20次/min，与心脏搏动次数的比例为1：4。安静时呼吸的洪都拉斯气量平均为500ml（300~700ml），每分钟通气量约8~10l。呼吸异常是指呼吸的频率，节律概念人度的改变。当患者主观上感觉空气不足，呼吸费力...,巨细胞病毒性葡萄膜炎,枸橼酸杆菌肺炎,急性气管支气管炎,颈部勒伤,输血后血小板减少性紫癜
肥胖,https://jbk.39.net/zhengzhuang/fp/,"(脂肪过多症,脂肪...)",肥胖（Obesity）指人体因各种原因引起的脂肪成分过多，显著超过正常人的一般平均量时称为肥胖。贮于皮下的脂肪约占脂肪总量的50％。任何年龄均可发生肥胖，以中年人多见，且女性多于男性。肥胖者的体重增加是由于脂...,肢端肥大症性心肌病,痛风性心肌病,肥胖性心肌病,家族性混合型高脂血症,
宫腔粘连,https://jbk.39.net/zhengzhuang/gqzl/,,宫腔粘连综合征是指子宫内壁粘连，造成宫腔全部或部分闭塞，导致的一系列症状。宫腔粘连综合征患者一般均有子宫腔操作史，如人工流产术、清宫术、子宫肌瘤剔除术，甚至足月分娩或中期引产后等。更多见于人工流产...,子宫内膜异位,闭经,子宫肌瘤,子宫内膜异位症,
面部浮肿,https://jbk.39.net/zhengzhuang/mbfz/,,体内增加太多水分排不出去时，就是浮肿。体重增加的同时，会出现眼皮浮肿、脚踝或小腿水肿。 大部分的浮肿是由肾脏或心脏疾病所引起的，不过，有时候肝病的腹水、蛋白质不足引起的营养失调或更年期障碍的荷...,福尔马林中毒,维生素B12缺乏所致贫血,维生素B1缺乏病,支气管肺炎,慢性肺炎
