Name,Website,Aliases,Description,Related Symptom 1,Related Symptom 2,Related Symptom 3,Related Symptom 4
胰腺炎,https://jbk.39.net/yxy/,(胰瘅),胰腺炎(pancreatitis)是胰腺因胰蛋白酶的自身消化作用而引起的疾病。常见的有：急性胆源性胰腺炎、蛔虫性急性胰腺炎、胆源性急性胰腺炎、急性出血坏死型胰腺炎等急性胰腺炎，自身免疫性胰腺炎、胆源性慢性胰腺炎等慢...,肚子疼,右上腹痛,左上腹痛,上腹部疼痛
阴道炎,https://jbk.39.net/ydy/,,"阴道炎是女性生殖道感染最常见的疾病, 是不同疾病引起的多种阴道黏膜炎性疾病的总称，每个年龄阶段都可发病，易反复发作。常见阴道炎包括滴虫性阴道炎、 外阴阴道假丝酵母菌病、细菌性阴道病、需氧菌性阴道炎、萎...",排尿时外阴灼热、瘙痒或疼痛,白带增多,脓血性白带,绝经后白带增多
慢性胆囊炎,https://jbk.39.net/mxdny/,(胆囊炎，胆胀),"慢性胆囊炎(chronic cholecystitis)系指胆囊慢性炎症性病变,大多为慢性结石性胆囊炎，占85%～95%，少数为非结石性胆囊炎，如伤寒带菌者。本病可由急性胆囊炎反复发作迁延而来,也可慢性起病。临床表现无特异性，常见的是右...",胆囊积脓,恶心与呕吐,胃灼热,上腹不适
支原体感染,https://jbk.39.net/zytgr/,,支原体（mycoplasma）是细胞外生存的最小微生物。是一类缺乏细胞壁的原核细胞型微生物，大小一般在0.3-0.5um之间，呈高度多形性，有球形、杆形、丝状、分枝状等多种形态。它不同于细胞，也不同于病毒。种类繁多、分布...,白带增多,充血,尿痛,尿道刺痒
外阴炎,https://jbk.39.net/wyy/,(细菌性外阴炎),正常情况下，阴道分泌物呈酸性(宫颈管内粘液则呈碱性)，因而能抑制致病菌的活动、繁殖和上行，炎症一般不易出现。当阴道分泌物酸碱度发生改变，或有特殊病原体侵入时，即可引起炎症反应。,排尿时外阴灼热、瘙痒或疼痛,会阴溃疡,外阴皮肤肿胀,外阴烧灼刺激感
龟头炎,https://jbk.39.net/gty/,"(龟头黏膜炎,阴茎...)",龟头炎(balanitis)指龟头黏膜的炎症，而包皮炎指包皮及其黏膜面的炎症。临床上，两者常同时存在，统称为龟头包皮炎(balanoposthitis)。,尿道口有红斑和水肿,龟头瘙痒,阴茎表浅性溃疡,阴茎和阴囊水肿
甲状腺癌,https://jbk.39.net/jzxa/,(恶性甲状腺肿，石...),甲状腺癌 (thyroid carcinoma)是最常见的甲状腺恶性肿瘤，是来源于甲状腺上皮细胞的恶性肿瘤，绝大部分甲状腺癌起源于滤泡上皮细胞，按病理类型可分为乳头状癌(60%)、滤泡状腺癌(20%)，但预后较好;滤泡状腺癌肿瘤生长较快...,甲状腺结节,声音嘶哑,呼吸异常,吞咽困难
过敏性紫癜,https://jbk.39.net/gmxzd/,"(亨诺-许兰综合征,...)",过敏性紫癜(Allergic Purpura)又称出血性毛细血管中毒症或Henoch-Schnlein综合征。是常见的毛细血管变态反应性疾病，主要病理基础为广泛的毛细血管炎，以皮肤紫癜、消化道粘膜出血、关节肿胀疼痛和肾炎等症状为主要临床表现...,低烧,咽痛,紫癜,关节肿胀
多囊卵巢综合征,https://jbk.39.net/dnlczhz/,(硬化性囊性卵巢综...),多囊卵巢综合征是一种卵巢增大并含有很多充满液体的小囊，雄激素水平增高、不能排卵的内分泌疾病。最显著的特征是无排卵。,月经稀少,女性不孕,肥胖,卵巢性多毛
口臭,https://jbk.39.net/kc1/,"(口气,口腔异味)",所谓口臭(也有称“口气”的)，就是人口中散发出来的令别人厌烦、使自己尴尬的难闻的口气。它严重影响人们的社会交往和心理健康，WHO已将口臭作为一种疾病来进行报道。调查显示，中国口臭患病率为27.5%。而在西方国...,热痰口臭,胃火口臭,虚热口臭,食积口臭
肠梗阻,https://jbk.39.net/cgz/,,肠梗阻(intestinal obstruction，ileus)指肠内容物在肠道中通过受阻。为常见急腹症，可因多种因素引起。起病初，梗阻肠段先有解剖和功能性改变，继则发生体液和电解质的丢失、肠壁循环障碍、坏死和继发感染，最后可致毒血...,便秘伴剧烈腹痛,排便障碍,肚子疼,急腹症
心脏病,https://jbk.39.net/xzb/,,心脏病(heart disease)是心脏疾病的总称，包括风湿性心脏病、先天性心脏病、限制型心脏病、慢性肺源性心脏病、高血压性心肌病、甲亢性心脏病、糖尿病心脏病、高原性心脏病、冠心病、心肌病等各种心脏病。,呼吸困难,心率不齐,心动过速,身体瘦弱
早孕反应,https://jbk.39.net/zyfy/,"(妊娠剧吐,妊娠反...)",在妊娠早期(停经六周左右)，孕妇体内绒毛膜促性腺激素(HCG)增多，胃酸分泌减少及胃排空时间延长，导致头晕、乏力、食欲不振、喜酸食物或厌恶油腻、恶心、晨起呕吐等一系列反应，统称为早孕反应。这些症状一般不需...,尿妊娠试验阳性,孕妇口苦,食欲异常,消瘦
新生儿黄疸,https://jbk.39.net/xsehd/,(新生儿生理性黄疸...),新生儿黄疸是指新生儿期(自胎儿娩出脐带结扎至生后28天)，由于胆红素在体内积聚而导致血中胆红素水平升高而出现皮肤、黏膜及巩膜黄染为特征的病症，本病分为生理性黄疸和病理性黄疸。足月儿生理性黄疸在出生后2～3...,生理性黄疸,巩膜黄染,新生儿母乳喂养后出现黄疸,婴儿脸色发黄
麦粒肿,https://jbk.39.net/mlz/,"(针眼,眼睑炎，睑...)",最靠近眼球边缘的皮肤就是“眼睑”，因为发炎反应或是病菌感染而引起睫毛及眼睑边缘处的发炎称为“眼睑炎”，是最常引起外眼部刺激的原因之一。病人在眼睑上可感受到灼热、刺激及痒感，有的病人甚至有眼睑周围溃...,眼屎多,红眼,眼睑脓肿,颌下淋巴结肿大压痛
白内障,https://jbk.39.net/bnz/,"(老年性白内障,年...)",凡是各种原因如老化、遗传、局部营养障碍、免疫与代谢异常、外伤、中毒、辐射等，都能引起晶状体代谢紊乱，导致晶状体蛋白质变性而发生混浊，称为白内障。此时光线被混浊晶状体阻扰无法投射在视网膜上，就不能看...,瞳孔变白,眼球调节功能减退或消失,玻璃体经瞳孔向前房凸出,眼压升高
结肠癌,https://jbk.39.net/jca/,,是常见的消化道恶性肿瘤，占胃肠道肿瘤的第二位。好发部位为直肠及直肠与乙状结肠交界处，占60%。发病多在40岁以后，男女之比为2：1。,便秘伴剧烈腹痛,癌细胞逆行播散,消化道憩室,下消化道少量出血
附睾炎,https://jbk.39.net/fgy/,,附睾炎多见于中青年，按病程可分为急性附睾炎和慢性附睾炎两种。,脓性分泌物,睾丸疼痛,血清睾酮浓度低下,附睾结石
前列腺癌,https://jbk.39.net/qlxa/,,　前列腺癌在欧美是男性癌死亡的主要原因之一。发病率随年龄增长，80岁以上检查前列腺半数有癌病灶，但实际临床发病者远低于此数，前列腺癌发病有明显的地区和种族差异，据统计中国人最低，欧洲人最高，非洲和以色列...,膀胱残余尿量增多,尿液中有稠厚胶样物,尿流中断,肥大结节纤维组织增生
脑出血,https://jbk.39.net/ncx/,(脑溢血 ),脑出血(cerebral hemorrhage)又称脑溢血，病因多样，绝大多数是高血压小动脉硬化的血管破裂引起，故有人也称高血压性脑出血。按照是否外伤因素引起的可分为外伤性脑室内出血和自发性脑室内出血。脑出血与高血压病的...,血压高,去大脑强直,桥脑出血,脑干出血
鼻炎,https://jbk.39.net/by/,,鼻炎(Rhinitis)指的是鼻腔粘膜和粘膜下组织的炎症。表现为充血或者水肿，患者经常会出现鼻塞，流清水涕，鼻痒，喉部不适，咳嗽等症状。临床的各种鼻炎：急性鼻炎、慢性鼻炎（慢性单纯性鼻炎、慢性肥厚性鼻炎、...,持续性咳嗽,鼻痒,鼻塞,鼻粘膜肿胀
低血糖,https://jbk.39.net/dxt/,,低血糖综合征(hypoglycemic syndrome)是一组由多种病因引起的综合征。血糖浓度常低于3.36mmol/L(60mg/dl)，严重而长期的低血糖症可发生广泛的神经系统损害与并发症。常见的有功能性低血糖与肝源性低血糖，其次为胰岛素瘤及其他...,心悸,冷汗,面色苍白,头晕
慢性肾炎,https://jbk.39.net/mxsy/,"(慢性肾小球肾炎,...)",慢性肾小球肾炎(chronic glomerulonephritis)系指各种病因引起的不同病理类型的双侧肾小球弥漫性或局灶性炎症改变，临床起病隐匿，病程冗长，病情多发展缓慢的一组原发性肾小球疾病的总称，故严格说来它不是一独立性疾病...,蛋白尿,水肿,血压高,慢性肾功能不全
胆囊炎,https://jbk.39.net/dny/,,胆囊炎是细菌性感染或化学性刺激(胆汁成分改变)引起的胆囊炎性病变，为胆囊的常见病。在腹部外科中其发病率仅次于阑尾炎，本病多见于35～55岁的中年人，女性发病较男性为多，尤多见于肥胖且多次妊娠的妇女。,右上腹压痛,恶心,发烧,腹肌紧张
小儿发烧,https://jbk.39.net/xefs/,"(小儿高热,小儿发)",小儿发烧是指当小儿发热，温度在39.1～41℃左右。发热时间超过两周为长期发热。小儿正常体温常以肛温36.5～37.5℃，腋温36～37℃衡量。通常情况下，腋温比口温(舌下)低0.2～0.5℃，肛温比腋温约高0.5℃左右。若腋温超过37.4...,低烧,高热,,
动脉硬化,https://jbk.39.net/dmyh/,(动脉粥样硬化),动脉硬化是动脉的一种非炎症性病变，是动脉管壁增厚、变硬，失去弹性和管腔狭小的退行性和增生性病变的总称，常见的有：1、动脉粥样硬化;2、动脉中层钙化;3、小动脉硬化(arteriolosclerosis)3种。动脉粥样硬化(atherosclerosis...,头晕,胸痛,头痛,心音异常
小儿肺炎,https://jbk.39.net/xefy/,"(小儿急性肺炎,小...)",小儿肺炎是小儿最常见的一种呼吸道疾病，四季均易发生，3岁以内的婴幼儿在冬、春季节患肺炎较多。如治疗不彻底，易反复发作、引起多种重症并发症，影响孩子发育。小儿肺炎临床表现为发热、咳嗽、气促、呼吸困难...,流鼻涕,打喷嚏,小儿咳嗽,干性咳嗽
猪流感,https://jbk.39.net/jxh1n1lg/,"(甲型H1N1流感,甲流)",甲型H1N1流感病毒是A型流感病毒，携带有H1N1亚型猪流感病毒毒株，包含有禽流感、猪流感和人流感三种流感病毒的核糖核酸基因片断，同时拥有亚洲猪流感和非洲猪流感病毒特征。医学测试显示，目前主流抗病毒药物对这种...,发烧,周身不适,咳嗽,咽痛
鼻咽癌,https://jbk.39.net/bya/,(石上疽),发生于鼻咽粘膜的恶性肿瘤。中国的广东、广西、福建、湖南等地为多发区，男多于女。发病年龄大多为中年人，亦有青少年患病者。病因与种族易感性(黄种人较白种人患病多)、遗传因素及EB病毒感染等有关。鼻咽癌是一...,耳内闭塞感,腭部穿孔,鼻内似有擤不出的鼻涕,吞咽困难
青光眼,https://jbk.39.net/qgy/,(绿风内障),青光眼是指眼内压间断或持续升高的一种眼病。持续的高眼压可以给眼球各部分组织和视功能带来损害，如不及时治疗，视野可以全部丧失而至失明。青光眼是导致人类失明的三大致盲眼病之一，总人群发病率为1%，45岁以...,视力障碍,虹视,虹膜节段性萎缩,继发性视神经萎缩
睾丸炎,https://jbk.39.net/gwy1/,(附睾-睾丸炎),睾丸炎是怎么引起的?大多数病毒性睾丸炎，都是由腮腺炎病毒引起的，睾丸炎主要的致病菌主要有大肠杆菌、变形杆菌、葡萄球菌及绿脓肝菌等。,睾丸胀痛,附睾囊肿,男性小腹痛,阴茎和阴囊水肿
焦虑症,https://jbk.39.net/jlz/,(焦虑性神经症，焦...),焦虑症（anxiety neurosis）是一种以焦虑情绪为主的神经症，以广泛和持续性焦虑或反复发作的惊恐不安为主要特征，常伴有自主神经紊乱、肌肉紧张与运动性不安，临床一般分为广泛性焦虑障碍（generalized anxiety disorder，GAD）...,焦虑,坐立不安,失眠,严重情绪障碍
流感,https://jbk.39.net/lhxgm/,(流行性感冒),流行性感冒(infuenza.简称流感)是由流感病毒引起的急性呼吸道传染病，也是一种传染性强、传播速度快的疾病。病原体为甲、乙、丙三型流行性感冒病毒，通过飞沫传播，通常有如下典型症状：突然快速而至的高热、乏力、...,高热,怕冷,头痛,浑身酸痛
阴虱病,https://jbk.39.net/ysb1/,(虱病), 阴虱是虱病的一种，是虱子引起的皮肤病，可通过性接触传染，常为夫妇共患，而以女性为多见。世界各地均有发生，近年来流行于美国和西欧。,脓疱,结节,瘙痒,皮肤有瘙痒抓痕
风湿性关节炎,https://jbk.39.net/fsxgjy/,(关节炎),风湿性关节炎属变态反应性疾病，是风湿热的主要表现之一。多以急性发热及关节疼痛起病，典型表现是轻度或中度发热，游走性多关节炎，受累关节多为膝、踝、肩、肘、腕等大关节，常见由一个关节转移至另一个关节，...,关节疼痛,关节肿胀,关节肿大,弯曲不利
脱发,https://jbk.39.net/tf1/,(掉头发，秃头，鬼...),脱发是头发脱落的现象。有生理性及病理性之分。生理性脱发指头发正常的脱落。病理性脱发是指头发异常或过度的脱落。,永久性秃发,肿瘤性脱发,梳头或洗头时头发脱落增加,毛发异常
毛囊炎,https://jbk.39.net/mny/,(疖),毛囊炎(folliculitis)是指葡萄球菌侵入毛囊部位所发生的化脓性炎症。中医学根据其发病部位及形状有不同的命名，如大珠疮、发际疮、羊胡子疮、蝼蛄疖、蝼蛄患、蟮拱头等。本病好发于头部、项部、臀部、肛周或身体其他...,毛囊性呈鳞片状角化,阴部溃疡,囊肿,丘疹
子宫内膜癌,https://jbk.39.net/zgnma/,"(子宫体癌,子宫癌)",    起源于子宫内膜腺体的恶性肿瘤，又称子宫体癌，绝大多数为腺癌。为女性生殖器三大恶性肿瘤之一，在我国子宫内膜癌远低于子宫颈癌，但在一些西方发达国家，本病高于子宫颈癌，位于妇科恶性肿瘤的首位。高发年龄为58...,阴道出血,阴道分泌物增多,下腹疼痛,下腹胀痛
麻疹,https://jbk.39.net/mz/,(小儿麻疹),"麻疹(measles,rubeola,morbilli)是麻疹病毒引起的急性呼吸道传染病。主要症状有发热、上呼吸道炎、眼结膜炎等，而以皮肤出现红色斑丘疹和颊粘膜上有麻疹粘膜斑为其特征。本病传染性极强，在人口密集而未普种疫苗的地区易...",发烧,上呼吸道卡他症状,红斑样皮疹,斑丘疹
肾积水,https://jbk.39.net/sjs/,,由于尿液从肾脏排出受阻、蓄积，造成尿液潴留而引起肾内压升高，以致肾盂肾盏逐渐扩张，肾实质萎缩与破坏，，统称为肾积水。肾盂积水是由于尿路阻塞而引起的肾盂肾盏扩大伴有肾组织萎缩。尿路任何部位的管道狭窄...,肾盂积水,腹部肿块,少尿,恶心与呕吐
十二指肠溃疡,https://jbk.39.net/sezcky/,,十二指肠溃疡(duodenal ulcer，DU)是常见的慢性疾病之一，是由于多种因素引起的十二指肠黏膜层和肌层的缺损。,疼痛,上腹部疼痛,反酸,烧心
血管瘤,https://jbk.39.net/xgl/,,血管瘤(haemangioma)是由血管组织发生的肿瘤或血管畸形，其中80%属先天性的，属于良性，生长缓慢，很少恶变。血管瘤发生于口腔颌面部的血管瘤占全身血管瘤的60%，其中大多数发生于颜面皮肤、皮下组织及口腔粘膜、如舌...,红斑样皮疹,红斑结节,丘疹,血管痣
急性胰腺炎,https://jbk.39.net/jxyxy/,(胰腺炎，胰瘅),急性胰腺炎(acute pancreatitis，AP)是比较常见的一种急腹症，其发病率占急腹症的第3～5位。其中80%以上的病人病情较轻，即急性水肿性胰腺炎，可经非手术治愈，基本上是一种内科病。10%左右的病人属于重症胰腺炎，即急性出...,胰源性腹痛,突发性右上腹绞痛,恶心与呕吐,急腹症
婴幼儿腹泻,https://jbk.39.net/yyefx/,(初生儿腹泻),在未明确病因前，大便性状改变与大便次数比平时增多，统称为腹泻病(diarrheal disease)。腹泻病是多病因、多因素引起的一组疾病，是儿童时期发病率最高的疾病之一，是世界性公共卫生问题，全球大约每年至少10亿人次发生...,新生儿拉肚子,病毒性腹泻,习惯性腹泻,生理性腹泻
原发性肝癌,https://jbk.39.net/yfxga/,(肝癌),原发性肝癌(primary carcinoma of the liver)是我国常见恶性肿瘤之一。死亡率在消化系统恶性肿瘤中列第3位.我国每年死于肝癌约11万人，占全世界肝癌死亡人数的45%。由于依靠血清甲胎蛋白(AFP)检测结合超声显像对高危人群的监测...,乏力,纳差,食欲下降,腹水
帕金森,https://jbk.39.net/pjs/,"(帕金森病,震颤麻...)",帕金森病(Parkinson's disease)又称"震颤麻痹"，巴金森氏症或柏金逊症，多在60岁以后发病。主要表现为患者动作缓慢，手脚或身体其它部分的震颤，身体失去柔软性，变得僵硬。最早系统描述该病的是英国的内科医生詹母帕金...,静止性震颤,肌张力过高,感觉障碍,运动功能障碍
慢性宫颈炎,https://jbk.39.net/mxgjy/,(慢性子宫颈炎 ),慢性子宫颈炎(chronic cervicitis)是妇科疾病中最为常见的一种。经产妇女较为多见。临床主要表现为白带增多，呈乳白色或微黄色，或为粘稠状脓性，有时为血性或夹杂血丝。一般通过妇科检查不难诊断。宫颈局部多表现为糜...,白带增多,下腹痛,腰骶疼痛,尿频
萎缩性胃炎,https://jbk.39.net/wsxwy/,(慢性萎缩性胃炎，...),萎缩性胃炎(atrophic gastritis)指各种病因引起胃黏膜变薄、固有腺体的减少的一种病理状态，其发病可能是一个多病因综合作用的、漫长的、多阶段、多基因的变异积累过程。慢性胃炎反复发作引起的胃黏膜腺体的萎缩和肠上...,上腹不适,上腹部疼痛,食欲不振,腹胀
肾囊肿,https://jbk.39.net/snz/,"(单纯性肾囊肿,孤...)",单纯性肾囊肿(simple renal cyst)是肾囊性疾病中最多见、症状最轻的一种，常见于50岁以上的成年人而罕见于小儿，故有可能是后天性的。可为孤立性或多发性，多见于男性及左肾，常单侧发病，也可合并对侧肾病变。,腹部不适,上腹部疼痛,腰部钝痛,血尿伴蛋白尿
牙周病,https://jbk.39.net/yzb/,(牙周疾病),牙周病是牙齿支持组织，包括牙龈、牙骨质、牙周韧带和牙槽骨因炎症所致的一种疾病 ，是最常见的口腔疾病之一，也是导致牙齿丧失的一个主要原因。但患者并非所有这些组织都同时患病，视局部炎症的轻重及范围，实...,牙齿臭,牙齿缝隙大,牙齿颜色异常,牙齿遇冷热痛
半月板损伤,https://jbk.39.net/bybss/,,半月板损伤(meniscus injury)是膝部最常见的损伤之一，多见于青壮年，男性多于女性。国外报道内、外侧半月板损伤之比为4～5∶1，而国内报道相反，其比例为1∶2.5。,关节响痛,关节疼痛,打软腿,伸膝障碍
肝囊肿,https://jbk.39.net/gnz/,(单纯性肝囊肿),肝囊肿是一种较常见的肝脏良性疾病，可分为寄生虫性、非寄生虫性和先天遗传性。超声显像广泛应用以来，无症状的先天性肝囊肿十分常见，且常为多发，中年女性较多，常伴多囊肾。先天性肝囊肿囊壁由上皮细胞组成，...,脉氧合不足,腹部肿块,囊肿样改变,无胆汁粪便
胰腺癌,https://jbk.39.net/yxa/,(胰癌),胰腺癌(pancreatic carcinoma)是常见的胰腺肿瘤，是一种恶性程度很高，诊断和治疗都很困难的消化道恶性肿瘤，约90%为起源于腺管上皮的导管腺癌。其发病率和死亡率近年来明显上升。5年生存率<1%，是预后最差的恶性肿瘤之一...,上腹部疼痛,消瘦,甲胎蛋白增高,大便色浅
霉菌性外阴炎,https://jbk.39.net/mjxwyy/,(念珠菌外阴炎),在机体抵抗力减弱或微生物丛间的拮抗作用失去平衡时，本菌即引起念珠菌病。外阴、阴道炎的发生与妊娠、糖尿病、外阴损伤或浸渍，口服避孕药及抗生素等免疫抑制药时、在妊娠期细胞间的免疫力或糖代谢改变，或阴道...,外阴烧灼刺激感,外阴皮肤肿胀,尿痛,阴部溃疡
糖尿病,https://jbk.39.net/tnb/,(消渴),糖尿病是由遗传和环境因素相互作用而引起的常见病，临床以高血糖为主要标志，常见症状有多饮、多尿、多食以及消瘦等。糖尿病可引起身体多系统的损害，引起胰岛素绝对或相对分泌不足以及靶组织细胞对胰岛素敏感性...,多尿,糖尿,消瘦,多饮
狂犬病,https://jbk.39.net/kqb/,(恐水症),狂犬病(rabies)乃狂犬病病毒所致的急性传染病，因其恐水症状比较突出，故又名恐水症(hydrophobia)。人畜共患，多见于犬、狼、猫等肉食动物，人多因病兽咬伤而感染。临床表现为恐水怕风、咽肌痉挛、进行性瘫痪等。,低烧,嗜睡,食欲缺乏,三怕(水声、光、风)现象
淋巴癌,https://jbk.39.net/lba/,(恶性淋巴瘤),恶性淋巴癌又称“淋巴瘤”，是原发于淋巴结或其他淋巴组织的恶性肿瘤，是我国常见的十大恶性肿瘤之一。本病多见于中、青年，男性患者多于女性。本病按其细胞成分的不同可分为何杰金氏病和非何杰金氏淋巴瘤两大类...,淋巴结肿大,盗汗,体重减轻,发烧
甲沟炎,https://jbk.39.net/jgy/,,指甲的生长部称甲基质或甲根，被皮肤覆盖，指甲的两侧与皮肤皱褶相接，形成甲沟。甲沟炎即指甲板两侧与皮肤皱褶结合部的化脓性感染，是临床常见的指(趾)部感染性疾病之一。致病菌为皮肤表面的金黄葡萄球菌。可发...,脓疱,手指尖痛或触痛,指（趾）甲颜色改变,甲身凹沟
胃炎,https://jbk.39.net/wy2/,"(胃肠感染,肠胃炎)",胃炎是指由各种因素引起胃黏膜发生炎症性改变。在饮食不规律，作息不规律的人群尤为高发。根据病程分急性和慢性两种，慢性比较常见。包括急性胃炎（急性化脓性胃炎、急性糜烂性胃炎、急性单纯性胃炎、急性腐蚀性...,食欲不振,体重减轻,疲乏,皖腹痞闷
肛裂,https://jbk.39.net/gl/,(肛门裂),肛裂是齿状线以下肛管皮肤全层的小溃疡。其方向与肛管纵轴平行，长约0.5～1.0cm，呈梭形或椭圆形，愈合困难，是中青年人产生肛管处剧痛的常见原因。而肛管浅表裂伤不能视为肛裂，因其能很快自愈，且常无症状。肛裂...,肛门病变,排粪时肛门灼痛,肛门短时间阵发性钝痛,肛周囊肿
植物神经紊乱,https://jbk.39.net/zwsjgnwl/,(植物神经功能失调...),植物神经紊乱是因长期的精神紧张，心理压力过大，以及生气和精神受到刺激后所引起的一组症状群。,情绪起伏大,烦躁不安,焦虑,心慌
甲减,https://jbk.39.net/jzxgnjt/,"(甲状腺功能减退,...)",甲状腺功能减退症（简称甲减），是由于甲状腺激素合成及分泌减少，或其生理效应不足所致机体代谢降低的一种疾病。按其病因分为原发性甲减，继发性甲减及周围性甲减三类。　,表情淡漠,头痛,心动过缓,厌食
鹅口疮,https://jbk.39.net/ekc/,(念白菌病，雪口病...),鹅口疮是新生儿时期经常见到的疾病，尤其是出生一周以后的早产儿。俗称白口糊，中医叫雪口症。是由白色念珠菌感染引起的，是属于真菌的一种，也称霉菌。一般认为是由于新生儿免疫机能低下，如虚弱，营养不良，腹...,口角生疮,口腔难愈的白色片状物,口腔念珠菌感染,口腔粘膜上白色较硬的隆起斑块
腱鞘炎,https://jbk.39.net/jqy/,(鼠标手),腱鞘就是套在肌腱外面的双层套管样密闭的滑膜管，是保护肌腱的滑液鞘。它分两层包绕着肌腱，两层之间一空腔即滑液腔，内有腱鞘滑液。内层与肌腱紧密相贴，外层衬于腱纤维鞘里面，共同与骨面结合，具有固定、保护...,腱鞘变干,腱鞘厚化,疼痛,
乳头内陷,https://jbk.39.net/rtnx/,(乳头凹陷),女性乳房的乳头如不凸出于乳晕平面，甚至凹入陷于皮面之下，致局部呈火山口状时，称乳头内陷(crater nipple)，是一种较常见的女性乳房畸形。有报道乳头凹陷的妇女的比例高达40%。乳头内陷有两种情形：乳头退缩或翻入乳...,,,,
小儿急性支气管炎,https://jbk.39.net/xejxzqgy/,(小儿外感咳嗽，急...),急性支气管炎(acute bronchitis)或急性气管支气管炎(acute treacheo broncitis)是由于各种致病原引起的支气管粘膜炎症，由于气管常同时受累，故称为急性气管支气管炎。在婴幼儿时期发病较多、较重，常并发或继发于上下呼吸...,咳嗽,干咳,发烧,啰音
肝癌,https://jbk.39.net/ga/,,肝癌(liver cancer)是死亡率仅次于胃癌、食道癌的第三大常见恶性肿瘤，初期症状并不明显，晚期主要表现为肝痛、乏力、消瘦、黄疸、腹水等症状。临床上一般采取西医的手术、放化疗与中药结合疗法，但晚期患者因癌细胞...,乏力,消瘦,腹水,纳差
红眼病,https://jbk.39.net/hyb/,(急性卡他性结膜炎...),急性卡他性结膜炎（acute catarrhal conjunctivitis）俗称“红眼”或“火眼”，是由细菌感染引起的一种常见的急性流行性眼病。其主要特征为结膜明显充血，脓性或粘液脓性分泌物，有自愈倾向。,眼睛发红,视力障碍,睫状充血,泪溢
支气管扩张,https://jbk.39.net/zqgkz/,(支气管扩张症，支...),支气管扩张(bronchiectasis)以局部支气管不可逆性解剖结构异常为特征，是由于支气管及其周围肺组织慢性化脓性炎症和纤维化，使支气管壁的肌肉和弹性组织破坏，导致支气管变形及持久扩张。典型的临床症状有慢性咳嗽、...,脓痰,胸闷,咯血如注,气管隆突以上的损伤
结肠炎,https://jbk.39.net/jcy/,(非特异性溃疡性结...),结肠炎腹痛一般多为隐痛或绞痛，常位于左下腹或小腹。其它表现有食欲不振、腹胀、恶心、呕吐及肝大等;左下腹可 有压痛，有时能触及痉挛的结肠。常见的全身症状有消瘦、乏力、发热、贫血等。有少部分病人在慢性的...,便血,大便溏泄,腹满便溏,便血鲜红
卵巢早衰,https://jbk.39.net/lczs/,,卵巢早衰定义：女性在40岁以前出现卵巢功能减退的现象，称为卵巢早衰(Premature ovarian failure)。POF的发病率占成年女性的1-3%。临床表现伴见不同程度的潮热多汗、阴道干涩、性欲下降等绝经前后症状，使患者未老先衰，给其...,潮红潮热,性欲减退,多梦,紧张
卵巢癌,https://jbk.39.net/lca/,(症癜，卵巢恶性肿...),卵巢癌是女性生殖器官常见的肿瘤之一，发病率仅次于子宫颈癌和子宫体癌而列居第三位。但因卵巢癌致死者，却占各类妇科肿瘤的首位，对妇女生命造成严重威胁。由于卵巢的胚胎发育，组织解剖及内分泌功能较复杂，它...,消瘦,下腹胀痛,下腹部包块,绝经后出血
多毛状小阴唇,https://jbk.39.net/dmzxyc/,(女阴多毛状乳头瘤...),多毛状小阴唇(hairy nymphae)又称女阴假性湿疣(pseudocondyloma of vulae)，女阴乳头状多毛症(hirsuties papillaris vulvae)，女阴多毛状乳头瘤(hirsutoid papilloma of vulvae)。假性湿疣多见于青年妇女，未婚或已婚均可发生;发病年龄主要为18...,丘疹,小阴唇及前庭也有散在的白色圆形及环形丘疹,毛发异常,阴部溃疡
登革热,https://jbk.39.net/dgr/,"(波尔加热,古典登...)",登革热(dengue fever)是由伊蚊传播登革病毒(dengue virus)引起的急性传染病。主要通过埃及伊蚊或白纹伊蚊为媒介进行传播。其特点为急性起病，发热，全身肌肉、骨、关节痛，极度疲乏，皮疹，淋巴结肿大及血液白细胞、血小...,发烧,出血倾向,红斑样皮疹,头痛
骨关节炎,https://jbk.39.net/ggjy/,(骨关节病，退行性...),"骨关节炎(osteoarthritis,OA)又称为骨关节病，退行性关节病和骨质增生，是一种最常见的关节疾病。该病不仅发生关节软骨损害，还累及整个关节，包括软骨下骨、韧带、关节囊、滑膜和关节周围肌肉，最终发生关节软骨退变、纤...",关节疼痛,肌肉萎缩,关节畸形,关节肿大
肛瘘,https://jbk.39.net/gl2/,(肛漏),肛管直肠瘘主要侵犯肛管，很少涉及直肠，故常称为肛瘘，是与会阴区皮肤相通的肉芽肿性管道，内口多位于齿线附近，外口位于肛周、皮肤处。整个瘘管壁由增厚的纤维组织组成，内复一层肉芽组织，经久不愈。发病率仅...,排便障碍,肛周皮肤潮红,肛门短时间阵发性钝痛,肛门括约肌松弛
脂肪瘤,https://jbk.39.net/zfl/,,脂肪瘤(lipoma)是起源于脂肪组织的一种良性肿瘤。瘤周有一层薄的结缔组织包囊，内有被结缔组织束分成叶状成群的正常脂肪细胞。有的脂肪瘤在结构上除大量脂肪组织外，还含有较多结缔组织或血管，即形成复杂的脂肪瘤...,无痛性硬实结节,皮下沉积所出现的粟粒样结节,皮下指头至鸽蛋大的肿块结节,纤维性钙化结节
